Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
3,"PA,PA-N155,PA-X protein(+61)",CY190688,Yes,2208,H8N4,11/25/2008,IRD:American Black Duck/Avian,USA,Maryland,08-09,A/American black duck/Maryland/08OS1725/2008
1,PB2,EU500849,Yes,2341,H7N3,2007,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/NB/2538/2007(H7N3)
5,NP,EU500853,Yes,1562,H7N3,2007,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/NB/2538/2007(H7N3)
8,"NS1,NS2",EU500856,Yes,890,H7N3,2007,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/NB/2538/2007(H7N3)
4,HA,EU500852,Yes,1730,H7N3,2007,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/NB/2538/2007(H7N3)
6,NA,EU500854,Yes,1453,H7N3,2007,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/NB/2538/2007(H7N3)
2,"PB1,PB1-N40",EU500850,Yes,2341,H7N3,2007,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/NB/2538/2007(H7N3)
3,"PA,PA-N155,PA-N182,PA-X protein(+61)",EU500851,Yes,2233,H7N3,2007,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/NB/2538/2007(H7N3)
7,"M1,M2",EU500855,Yes,1027,H7N3,2007,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/NB/2538/2007(H7N3)
8,"NS1,NS2",CY138644,Yes,865,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
5,NP,CY138643,Yes,1531,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138645,Yes,2195,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
7,"M1,M2",CY138641,Yes,1002,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
2,"PB1,PB1-F2,PB1-N40",CY138646,Yes,2311,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
1,PB2,CY138647,Yes,2307,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
4,HA,CY138640,Yes,1746,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
6,NA,CY138642,Yes,1422,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00321/2010
6,NA,CY138650,Yes,1424,H3N8,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
1,PB2,CY138655,Yes,2307,H3N8,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138653,Yes,2208,H3N8,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
2,"PB1,PB1-F2,PB1-N40",CY138654,Yes,2316,H3N8,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
4,HA,CY138648,Yes,1740,H3N8,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
8,"NS1,NS2",CY138652,Yes,853,H3N8,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
5,NP,CY138651,Yes,1540,H3N8,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
7,"M1,M2",CY138649,Yes,1002,H3N8,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00322/2010
8,"NS1,NS2",CY138668,Yes,865,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
7,"M1,M2",CY138665,Yes,1002,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
4,HA,CY138664,Yes,1746,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138669,Yes,2201,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
2,"PB1,PB1-F2,PB1-N40",CY138670,Yes,2316,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
5,NP,CY138667,Yes,1531,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
1,PB2,CY138671,Yes,2316,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
6,NA,CY138666,Yes,1422,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00326/2010
8,"NS1,NS2",CY138676,Yes,853,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
7,"M1,M2",CY138673,Yes,1002,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
4,HA,CY138672,Yes,1746,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
1,PB2,CY138679,Yes,2316,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138677,Yes,2201,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
5,NP,CY138675,Yes,1534,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
2,"PB1,PB1-F2,PB1-N40",CY138678,Yes,2311,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
6,NA,CY138674,Yes,1422,H1N1,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00328/2010
8,"NS1,NS2",CY138773,Yes,865,H7N7,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
5,NP,CY138772,Yes,1530,H7N7,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
1,PB2,CY138776,Yes,2316,H7N7,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
7,"M1,M2",CY138770,Yes,1002,H7N7,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
4,HA,CY138769,Yes,1706,H7N7,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
6,NA,CY138771,Yes,1433,H7N7,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138774,Yes,2201,H7N7,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
2,"PB1,PB1-F2,PB1-N40",CY138775,Yes,2316,H7N7,08/08/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00344/2010
7,"M1,M2",CY138818,Yes,1002,H1N1,08/09/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138822,Yes,2195,H1N1,08/09/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
2,"PB1,PB1-F2,PB1-N40",CY138823,Yes,2316,H1N1,08/09/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
1,PB2,CY138824,Yes,2307,H1N1,08/09/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
6,NA,CY138819,Yes,1422,H1N1,08/09/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
8,"NS1,NS2",CY138821,Yes,865,H1N1,08/09/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
5,NP,CY138820,Yes,1534,H1N1,08/09/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
4,HA,CY138817,Yes,1746,H1N1,08/09/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00385/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138847,Yes,2208,H1N1,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
2,"PB1,PB1-F2,PB1-N40",CY138848,Yes,2316,H1N1,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
4,HA,CY138842,Yes,1746,H1N1,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
8,"NS1,NS2",CY138846,Yes,865,H1N1,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
1,PB2,CY138849,Yes,2316,H1N1,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
7,"M1,M2",CY138843,Yes,1002,H1N1,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
5,NP,CY138845,Yes,1531,H1N1,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
6,NA,CY138844,Yes,1413,H1N1,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00410/2010
2,"PB1,PB1-F2,PB1-N40",CY138856,Yes,2316,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138855,Yes,2208,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
5,NP,CY138853,Yes,1536,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
4,HA,CY138850,Yes,1740,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
1,PB2,CY138857,Yes,2307,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
6,NA,CY138852,Yes,1424,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
8,"NS1,NS2",CY138854,Yes,865,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
7,"M1,M2",CY138851,Yes,1002,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00424/2010
2,"PB1,PB1-F2,PB1-N40",CY138864,Yes,2316,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
5,NP,CY138861,Yes,1540,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
8,"NS1,NS2",CY138862,Yes,865,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138863,Yes,2201,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
7,"M1,M2",CY138859,Yes,1002,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
4,HA,CY138858,Yes,1740,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
6,NA,CY138860,Yes,1424,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
1,PB2,CY138865,Yes,2307,H3N8,08/10/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00425/2010
1,PB2,CY138873,Yes,2307,H3N8,08/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
7,"M1,M2",CY138867,Yes,991,H3N8,08/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
8,"NS1,NS2",CY138870,Yes,853,H3N8,08/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
4,HA,CY138866,Yes,1740,H3N8,08/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
2,"PB1,PB1-F2,PB1-N40",CY138872,Yes,2316,H3N8,08/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138871,Yes,2201,H3N8,08/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
6,NA,CY138868,Yes,1424,H3N8,08/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
5,NP,CY138869,Yes,1536,H3N8,08/11/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00454/2010
4,HA,CY138045,Yes,1713,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
1,PB2,CY138052,Yes,2316,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
7,"M1,M2",CY138046,Yes,1002,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138050,Yes,2208,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
2,"PB1,PB1-F2,PB1-N40",CY138051,Yes,2315,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
8,"NS1,NS2",CY138049,Yes,853,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
5,NP,CY138048,Yes,1536,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
6,NA,CY138047,Yes,1439,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00464/2010
5,NP,CY138877,Yes,1540,H3N8,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138879,Yes,2208,H3N8,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
8,"NS1,NS2",CY138878,Yes,853,H3N8,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
1,PB2,CY138881,Yes,2307,H3N8,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
7,"M1,M2",CY138875,Yes,1002,H3N8,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
2,"PB1,PB1-F2,PB1-N40",CY138880,Yes,2316,H3N8,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
6,NA,CY138876,Yes,1433,H3N8,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
4,HA,CY138874,Yes,1740,H3N8,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00467/2010
3,"PA,PA-N155,PA-N182,PA-X,PA-X protein(+61)",CY138887,Yes,2208,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
6,NA,CY138884,Yes,1439,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
7,"M1,M2",CY138883,Yes,1002,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
1,PB2,CY138889,Yes,2307,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
8,"NS1,NS2",CY138886,Yes,855,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
5,NP,CY138885,Yes,1536,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
2,"PB1,PB1-F2,PB1-N40",CY138888,Yes,2315,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
4,HA,CY138882,Yes,1713,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00468/2010
2,"PB1,PB1-F2,PB1-N40",CY138896,Yes,2316,H4N6,08/12/2010,IRD:American Black Duck/Avian,Canada,-N/A-,-N/A-,A/American black duck/New Brunswick/00469/2010
